Time,USER,RRC,ERAB,PRB,THR,DUR
11/17/2016 4:00,1185,948,758,583,486,507
11/17/2016 5:00,1160,928,742,571,476,497
11/17/2016 6:00,1164,931,745,573,478,498
11/17/2016 7:00,1206,965,772,594,495,516
11/17/2016 8:00,1422,1138,910,700,583,609
11/17/2016 9:00,1556,1245,996,766,638,666
11/17/2016 10:00,1641,1313,1050,808,673,703
11/17/2016 11:00,1637,1310,1048,806,672,701
11/17/2016 12:00,1371,1097,877,675,562,587
11/17/2016 13:00,1545,1236,989,761,634,661
11/17/2016 14:00,1597,1278,1022,786,655,684
11/17/2016 15:00,1538,1230,984,757,631,658
11/17/2016 16:00,2025,1620,1296,997,831,867
11/17/2016 17:00,1737,1390,1112,855,713,744
11/17/2016 18:00,1614,1291,1033,795,662,691
11/17/2016 19:00,1677,1342,1073,826,688,718
11/17/2016 20:00,1660,1328,1062,817,681,711
11/17/2016 21:00,1942,1554,1243,956,797,831
11/17/2016 22:00,1778,1422,1138,875,729,761
11/17/2016 23:00,1658,1326,1061,816,680,710
11/18/2016 0:00,1546,1237,989,761,634,662
11/18/2016 1:00,1170,936,749,576,480,501
11/18/2016 2:00,1059,847,678,521,434,453
11/18/2016 3:00,1133,906,725,558,465,485
11/18/2016 4:00,1185,948,758,583,486,507
11/18/2016 5:00,1160,928,742,571,476,497
11/18/2016 6:00,1164,931,745,573,478,498
11/18/2016 7:00,1206,965,772,594,495,516
11/18/2016 8:00,1422,1138,910,700,583,609
11/18/2016 9:00,1556,1245,996,766,638,666
11/18/2016 10:00,1641,1313,1050,808,673,703
11/18/2016 11:00,1637,1310,1048,806,672,701
11/18/2016 12:00,1371,1097,877,675,562,587
11/18/2016 13:00,1545,1236,989,761,634,661
11/18/2016 14:00,1597,1278,1022,786,655,684
11/18/2016 15:00,1538,1230,984,757,631,658
11/18/2016 16:00,2025,1620,1296,997,831,867
11/18/2016 17:00,1737,1390,1112,855,713,744
11/18/2016 18:00,1614,1291,1033,795,662,691
11/18/2016 19:00,1677,1342,1073,826,688,718
11/18/2016 20:00,1660,1328,1062,817,681,711
11/18/2016 21:00,1942,1554,1243,956,797,831
11/18/2016 22:00,1778,1422,1138,875,729,761
11/18/2016 23:00,1658,1326,1061,816,680,710
11/19/2016 0:00,1546,1237,989,761,634,662
11/19/2016 1:00,1170,936,749,576,480,501
11/19/2016 2:00,1059,847,678,521,434,453
11/19/2016 3:00,1133,906,725,558,465,485
11/19/2016 4:00,1185,948,758,583,486,507
11/19/2016 5:00,1160,928,742,571,476,497
11/19/2016 6:00,1164,931,745,573,478,498
11/19/2016 7:00,1206,965,772,594,495,516
11/19/2016 8:00,1422,1138,910,700,583,609
11/19/2016 9:00,1556,1245,996,766,638,666
11/19/2016 10:00,1641,1313,1050,808,673,703
11/19/2016 11:00,1637,1310,1048,806,672,701
11/19/2016 12:00,1371,1097,877,675,562,587
11/19/2016 13:00,1545,1236,989,761,634,661
11/19/2016 14:00,1597,1278,1022,786,655,684
11/19/2016 15:00,1538,1230,984,757,631,658
11/19/2016 16:00,2025,1620,1296,997,831,867
11/19/2016 17:00,1737,1390,1112,855,713,744
11/19/2016 18:00,1614,1291,1033,795,662,691
11/19/2016 19:00,1677,1342,1073,826,688,718
11/19/2016 20:00,1660,1328,1062,817,681,711
11/19/2016 21:00,1942,1554,1243,956,797,831
11/19/2016 22:00,1778,1422,1138,875,729,761
11/19/2016 23:00,1658,1326,1061,816,680,710
11/20/2016 0:00,1546,1237,989,761,634,662
11/20/2016 1:00,1170,936,749,576,480,501
11/20/2016 2:00,1059,847,678,521,434,453
11/20/2016 3:00,1133,906,725,558,465,485
11/20/2016 4:00,1185,948,758,583,486,507
11/20/2016 5:00,1160,928,742,571,476,497
11/20/2016 6:00,1164,931,745,573,478,498
11/20/2016 7:00,1206,965,772,594,495,516
11/20/2016 8:00,1422,1138,910,700,583,609
11/20/2016 9:00,1556,1245,996,766,638,666
11/20/2016 10:00,1641,1313,1050,808,673,703
11/20/2016 11:00,1637,1310,1048,806,672,701
11/20/2016 12:00,1371,1097,877,675,562,587
11/20/2016 13:00,1545,1236,989,761,634,661
11/20/2016 14:00,1597,1278,1022,786,655,684
11/20/2016 15:00,1538,1230,984,757,631,658
11/20/2016 16:00,2025,1620,1296,997,831,867
11/20/2016 17:00,1737,1390,1112,855,713,744
11/20/2016 18:00,1614,1291,1033,795,662,691
11/20/2016 19:00,1677,1342,1073,826,688,718
11/20/2016 20:00,1660,1328,1062,817,681,711
11/20/2016 21:00,1942,1554,1243,956,797,831
11/20/2016 22:00,1778,1422,1138,875,729,761
11/20/2016 23:00,1658,1326,1061,816,680,710
11/21/2016 0:00,1546,1237,989,761,634,662
11/21/2016 1:00,1170,936,749,576,480,501
11/21/2016 2:00,1059,847,678,521,434,453
11/21/2016 3:00,1133,906,725,558,465,485
11/21/2016 4:00,1185,948,758,583,486,507
11/21/2016 5:00,1160,928,742,571,476,497
11/21/2016 6:00,1164,931,745,573,478,498
11/21/2016 7:00,1206,965,772,594,495,516
11/21/2016 8:00,1422,1138,910,700,583,609
11/21/2016 9:00,1556,1245,996,766,638,666
11/21/2016 10:00,1641,1313,1050,808,673,703
11/21/2016 11:00,1637,1310,1048,806,672,701
11/21/2016 12:00,1371,1097,877,675,562,587
11/21/2016 13:00,1545,1236,989,761,634,661
11/21/2016 14:00,1597,1278,1022,786,655,684
11/21/2016 15:00,1538,1230,984,757,631,658
11/21/2016 16:00,2025,1620,1296,997,831,867
11/21/2016 17:00,1737,1390,1112,855,713,744
11/21/2016 18:00,1614,1291,1033,795,662,691
11/21/2016 19:00,1677,1342,1073,826,688,718
11/21/2016 20:00,1660,1328,1062,817,681,711
11/21/2016 21:00,1942,1554,1243,956,797,831
11/21/2016 22:00,1778,1422,1138,875,729,761
11/21/2016 23:00,1658,1326,1061,816,680,710
11/22/2016 0:00,1546,1237,989,761,634,662
11/22/2016 1:00,1170,936,749,576,480,501
11/22/2016 2:00,1059,847,678,521,434,453
11/22/2016 3:00,1133,906,725,558,465,485
11/22/2016 4:00,1185,948,758,583,486,507
11/22/2016 5:00,1160,928,742,571,476,497
11/22/2016 6:00,1164,931,745,573,478,498
11/22/2016 7:00,1206,965,772,594,495,516
11/22/2016 8:00,1422,1138,910,700,583,609
11/22/2016 9:00,1556,1245,996,766,638,666
11/22/2016 10:00,1641,1313,1050,808,673,703
11/22/2016 11:00,1637,1310,1048,806,672,701
11/22/2016 12:00,1371,1097,877,675,562,587
11/22/2016 13:00,1545,1236,989,761,634,661
11/22/2016 14:00,1597,1278,1022,786,655,684
11/22/2016 15:00,1538,1230,984,757,631,658
11/22/2016 16:00,2025,1620,1296,997,831,867
11/22/2016 17:00,1737,1390,1112,855,713,744
11/22/2016 18:00,1614,1291,1033,795,662,691
11/22/2016 19:00,1677,1342,1073,826,688,718
11/22/2016 20:00,1660,1328,1062,817,681,711
11/22/2016 21:00,1942,1554,1243,956,797,831
11/22/2016 22:00,1778,1422,1138,875,729,761
11/22/2016 23:00,1658,1326,1061,816,680,710
11/23/2016 0:00,1546,1237,989,761,634,662
11/23/2016 1:00,1170,936,749,576,480,501
11/23/2016 2:00,1059,847,678,521,434,453
11/23/2016 3:00,1133,906,725,558,465,485
11/23/2016 4:00,1185,948,758,583,486,507
11/23/2016 5:00,1160,928,742,571,476,497
11/23/2016 6:00,1164,931,745,573,478,498
11/23/2016 7:00,1206,965,772,594,495,516
11/23/2016 8:00,1422,1138,910,700,583,609
11/23/2016 9:00,1556,1245,996,766,638,666
11/23/2016 10:00,1641,1313,1050,808,673,703
11/23/2016 11:00,1637,1310,1048,806,672,701
11/23/2016 12:00,1371,1097,877,675,562,587
11/23/2016 13:00,1545,1236,989,761,634,661
11/23/2016 14:00,1597,1278,1022,786,655,684
11/23/2016 15:00,1538,1230,984,757,631,658
11/23/2016 16:00,2025,1620,1296,997,831,867
11/23/2016 17:00,1737,1390,1112,855,713,744
11/23/2016 18:00,1614,1291,1033,795,662,691
11/23/2016 19:00,1677,1342,1073,826,688,718
11/23/2016 20:00,1660,1328,1062,817,681,711
11/23/2016 21:00,1942,1554,1243,956,797,831
11/23/2016 22:00,1778,1422,1138,875,729,761
11/23/2016 23:00,1658,1326,1061,816,680,710
11/24/2016 0:00,1546,1237,989,761,634,662
11/24/2016 1:00,1170,936,749,576,480,501
11/24/2016 2:00,1059,847,678,521,434,453
11/24/2016 3:00,1133,906,725,558,465,485
11/24/2016 4:00,1185,948,758,583,486,507
11/24/2016 5:00,1160,928,742,571,476,497
11/24/2016 6:00,1164,931,745,573,478,498
11/24/2016 7:00,1206,965,772,594,495,516
11/24/2016 8:00,1422,1138,910,700,583,609
11/24/2016 9:00,1556,1245,996,766,638,666
11/24/2016 10:00,1641,1313,1050,808,673,703
11/24/2016 11:00,1637,1310,1048,806,672,701
11/24/2016 12:00,1371,1097,877,675,562,587
11/24/2016 13:00,1545,1236,989,761,634,661
11/24/2016 14:00,1597,1278,1022,786,655,684
11/24/2016 15:00,1538,1230,984,757,631,658
11/24/2016 16:00,2025,1620,1296,997,831,867
11/24/2016 17:00,1737,1390,1112,855,713,744
11/24/2016 18:00,1614,1291,1033,795,662,691
11/24/2016 19:00,1677,1342,1073,826,688,718
11/24/2016 20:00,1660,1328,1062,817,681,711
11/24/2016 21:00,1942,1554,1243,956,797,831
11/24/2016 22:00,1778,1422,1138,875,729,761
11/24/2016 23:00,1658,1326,1061,816,680,710
11/25/2016 0:00,1546,1237,989,761,634,662
11/25/2016 1:00,1170,936,749,576,480,501
11/25/2016 2:00,1059,847,678,521,434,453
11/25/2016 3:00,1133,906,725,558,465,485
11/25/2016 4:00,1185,948,758,583,486,507
11/25/2016 5:00,1160,928,742,571,476,497
11/25/2016 6:00,1164,931,745,573,478,498
11/25/2016 7:00,1206,965,772,594,495,516
11/25/2016 8:00,1422,1138,910,700,583,609
11/25/2016 9:00,1556,1245,996,766,638,666
11/25/2016 10:00,1641,1313,1050,808,673,703
11/25/2016 11:00,1637,1310,1048,806,672,701
11/25/2016 12:00,1371,1097,877,675,562,587
11/25/2016 13:00,1545,1236,989,761,634,661
11/25/2016 14:00,1597,1278,1022,786,655,684
11/25/2016 15:00,1538,1230,984,757,631,658
11/25/2016 16:00,2025,1620,1296,997,831,867
11/25/2016 17:00,1737,1390,1112,855,713,744
11/25/2016 18:00,1614,1291,1033,795,662,691
11/25/2016 19:00,1677,1342,1073,826,688,718
11/25/2016 20:00,1660,1328,1062,817,681,711
11/25/2016 21:00,1942,1554,1243,956,797,831
11/25/2016 22:00,1778,1422,1138,875,729,761
11/25/2016 23:00,1658,1326,1061,816,680,710
11/26/2016 0:00,1546,1237,989,761,634,662
11/26/2016 1:00,1170,936,749,576,480,501
11/26/2016 2:00,1059,847,678,521,434,453
11/26/2016 3:00,1133,906,725,558,465,485
11/26/2016 4:00,1185,948,758,583,486,507
11/26/2016 5:00,1160,928,742,571,476,497
11/26/2016 6:00,1164,931,745,573,478,498
11/26/2016 7:00,1206,965,772,594,495,516
11/26/2016 8:00,1422,1138,910,700,583,609
11/26/2016 9:00,1556,1245,996,766,638,666
11/26/2016 10:00,1641,1313,1050,808,673,703
11/26/2016 11:00,1637,1310,1048,806,672,701
11/26/2016 12:00,1371,1097,877,675,562,587
11/26/2016 13:00,1545,1236,989,761,634,661
11/26/2016 14:00,1597,1278,1022,786,655,684
11/26/2016 15:00,1538,1230,984,757,631,658
11/26/2016 16:00,2025,1620,1296,997,831,867
11/26/2016 17:00,1737,1390,1112,855,713,744
11/26/2016 18:00,1614,1291,1033,795,662,691
11/26/2016 19:00,1677,1342,1073,826,688,718
11/26/2016 20:00,1660,1328,1062,817,681,711
11/26/2016 21:00,1942,1554,1243,956,797,831
11/26/2016 22:00,1778,1422,1138,875,729,761
11/26/2016 23:00,1658,1326,1061,816,680,710
11/27/2016 0:00,1546,1237,989,761,634,662
11/27/2016 1:00,1170,936,749,576,480,501
11/27/2016 2:00,1059,847,678,521,434,453
11/27/2016 3:00,1133,906,725,558,465,485
11/27/2016 4:00,1185,948,758,583,486,507
11/27/2016 5:00,1160,928,742,571,476,497
11/27/2016 6:00,1164,931,745,573,478,498
11/27/2016 7:00,1206,965,772,594,495,516
11/27/2016 8:00,1422,1138,910,700,583,609
11/27/2016 9:00,1556,1245,996,766,638,666
11/27/2016 10:00,1641,1313,1050,808,673,703
11/27/2016 11:00,1637,1310,1048,806,672,701
11/27/2016 12:00,1371,1097,877,675,562,587
11/27/2016 13:00,1545,1236,989,761,634,661
11/27/2016 14:00,1597,1278,1022,786,655,684
11/27/2016 15:00,1538,1230,984,757,631,658
11/27/2016 16:00,2025,1620,1296,997,831,867
11/27/2016 17:00,1737,1390,1112,855,713,744
11/27/2016 18:00,1614,1291,1033,795,662,691
11/27/2016 19:00,1677,1342,1073,826,688,718
11/27/2016 20:00,1660,1328,1062,817,681,711
11/27/2016 21:00,1942,1554,1243,956,797,831
11/27/2016 22:00,1778,1422,1138,875,729,761
11/27/2016 23:00,1658,1326,1061,816,680,710
11/28/2016 0:00,1546,1237,989,761,634,662
11/28/2016 1:00,1170,936,749,576,480,501
11/28/2016 2:00,1059,847,678,521,434,453
11/28/2016 3:00,1133,906,725,558,465,485
11/28/2016 4:00,1185,948,758,583,486,507
11/28/2016 5:00,1160,928,742,571,476,497
11/28/2016 6:00,1164,931,745,573,478,498
11/28/2016 7:00,1206,965,772,594,495,516
11/28/2016 8:00,1422,1138,910,700,583,609
11/28/2016 9:00,1556,1245,996,766,638,666
11/28/2016 10:00,1641,1313,1050,808,673,703
11/28/2016 11:00,1637,1310,1048,806,672,701
11/28/2016 12:00,1371,1097,877,675,562,587
11/28/2016 13:00,1545,1236,989,761,634,661
11/28/2016 14:00,1597,1278,1022,786,655,684
11/28/2016 15:00,1538,1230,984,757,631,658
11/28/2016 16:00,2025,1620,1296,997,831,867
11/28/2016 17:00,1737,1390,1112,855,713,744
11/28/2016 18:00,1614,1291,1033,795,662,691
11/28/2016 19:00,1677,1342,1073,826,688,718
11/28/2016 20:00,1660,1328,1062,817,681,711
11/28/2016 21:00,1942,1554,1243,956,797,831
11/28/2016 22:00,1778,1422,1138,875,729,761
11/28/2016 23:00,1658,1326,1061,816,680,710
11/29/2016 0:00,1546,1237,989,761,634,662
11/29/2016 1:00,1170,936,749,576,480,501
11/29/2016 2:00,1059,847,678,521,434,453
11/29/2016 3:00,1133,906,725,558,465,485
11/29/2016 4:00,1185,948,758,583,486,507
11/29/2016 5:00,1160,928,742,571,476,497
11/29/2016 6:00,1164,931,745,573,478,498
11/29/2016 7:00,1206,965,772,594,495,516
11/29/2016 8:00,1422,1138,910,700,583,609
11/29/2016 9:00,1556,1245,996,766,638,666
11/29/2016 10:00,1641,1313,1050,808,673,703
11/29/2016 11:00,1637,1310,1048,806,672,701
11/29/2016 12:00,1371,1097,877,675,562,587
11/29/2016 13:00,1545,1236,989,761,634,661
11/29/2016 14:00,1597,1278,1022,786,655,684
11/29/2016 15:00,1538,1230,984,757,631,658
11/29/2016 16:00,2025,1620,1296,997,831,867
11/29/2016 17:00,1737,1390,1112,855,713,744
11/29/2016 18:00,1614,1291,1033,795,662,691
11/29/2016 19:00,1677,1342,1073,826,688,718
11/29/2016 20:00,1660,1328,1062,817,681,711
11/29/2016 21:00,1942,1554,1243,956,797,831
11/29/2016 22:00,1778,1422,1138,875,729,761
11/29/2016 23:00,1658,1326,1061,816,680,710
11/30/2016 0:00,1546,1237,989,761,634,662
11/30/2016 1:00,1170,936,749,576,480,501
